,R&B,PAV,SSV,MSV
10,"(clouds) 
 different shapes and sizes 
 hiding the horizon 
 (clouds) 
 in the distance, 
 I got to know 
 I got to have a good time 
 I got a love of my own 
 And I got to get enough 
 I got to be there, I got to be 
 I got to be there, be there, I got to be there, 
 I got to be the next to you 
 I'm gonna be there, you're needing 
 I got to vote for you 
 
 Oh, I wanna say 
 It's the same old song 
 Don't you know 
 I know you know 
 
 I don't know",0.4100434165660231,1.0,0.48412009858696736
11,"hello august moon, where are the stars of the night ? 
 you promised me too 
 
 
 Baby cries your crying 
 Don't let me down, let me down 
 Don't let me down,down, 
 Don't let me down,down, you 
 Don't let me down,down, you 
 I don't want you no more 
 
 I don't want you 
 I don't want you 
 I don't need you no more 
 I don't need no doctor 
 I don't need no doctor 
 I don't need no doctor 
 I don't need no doctor 
 I don't need no doctor 
 I don't need no doctor 
 I don't need no doctor 
",0.0,1.0,0.5245321469533418
12,"cha 
 no no 
 no no no no no 
 ooh baby 
 
 ""i've"" 'bout you 
 I can't believe it's the best thing 
 And that's all I want 
 
 I can't believe I can't do wrong 
 I can't wait, I can't wait, I can't wait, I can't wait, I can't wait, I know I can't wait, I know I can't wait, I know I know 
 
 See I know you got it 
 I know I know 
 I know you can't come around 
 I know I know I can't go 
 
 So let me tell you that I can get you 
 And I will take",0.42747602221878345,1.0,0.5303652103256687
13,"as i was walking down the street last night 
 a pretty little girl came into the window 
 And now the world is full of sadness 
 And the sun is shining bright 
 And I know it will never be so strong 
 And I don't know what to do 
 I don't know how to describe 
 I don't know what to do 
 I don't know what to do 
 I know I know I will 
 I know I will 
 And I know 
 
 I know I will 
 I know 
 I know 
 I know you got a really loved 
 I know that I can make",0.5636852082768513,1.0,0.49616213199989706
14,"can it be i stayed away too long 
 did i leave your mind when i could be there ? 
 
 Do you think I can't leave ? 
 (Strongest weakness) 
 Which way to show you that 
 
 What you gonna do ? 
 Is it really you ? 
 You want this, you want 
 
 'Cause I want you to come 
 'Cause I want you to know 
 You know I need you 
 You know when I'm in love with you 
 And if you wanna know you will 
 You will always be the one 
 
 I can see it all 
 But it seems like moving",0.44035098691377333,1.0,0.5092251124948934
15,"i believe in roses, but only from the heart 
 and if ""it's"" not sincere, baby 
 
 I don't know what to do 
 I don't know what to do 
 I don't know what to do 
 I don't know what to do 
 I don't know what to do 
 I don't know why I know 
 I don't know what I know 
 
 I know that I love you 
 I know you 
 My love 
 I, I love you 
 I love you 
 I love you 
 
 I love you 
 I love you 
 Baby I love you 
 I love you 
 I love you",0.6830346494725207,1.0,0.5144120155984533
16,"big brown bedroom eyes 
 ""they're"" bad for me 
 reluctantly you hit me 
 to me 
 
 I want to carry on 
 I want to know 
 I wanna be with you 
 Don't you know 
 
 I love you 
 I want you 
 And I need you 
 
 When I think of you 
 I know that you don't care 
 And I know you can't stop 
 I know you got a man 
 And you can't deny what I got 
 And I got to tell you what you want 
 And I want you to want 
 I want you to make me feel 
 'Cause",0.4754916034723822,1.0,0.5005331145660264
17,"""i've"" been around the world, seen everything 
 and if ""it's"" love you want baby just what I want, baby 
 
 So many days that you'll stay with me 
 So why don't you walk, me ? 
 You better call me butterflies 
 You better watch yourself take me to your face 
 You know I like the way you are 
 As if you need me, I'll show you love 
 More love, baby, love is so good, that you wanna know 
 There's nothing wrong with you, baby 
 Ain't no need to understand 
 It's the price of fame, I know 
 I don't need no kind 
 I don't care",0.36877598665289996,1.0,0.4718809206849972
18,"the strangest thought came to me on this morning 
 as i awoke to greet the King 
 Snap to know 
 I can see what I need 
 When I say you wanna be a man 
 I need you to know 
 You know I love you 
 But you know I love you 
 And I love you 
 I love you 
 And I love you 
 
 When I feel the way you want me 
 I want you to know 
 I need you 
 I need you 
 And I need you 
 If you want me 
 
 I want you to know 
 
 You got the",0.5312051722567427,1.0,0.5005751827920899
19,"this is ladies night, once again ""it's"" on ! 
 ya man ""actin'"" up ? then 
 I'm gonna grab it all 
 And I just can't take it 
 (Turn 
 It's unnatural 
 
 You know I know you got it 
 So I know that I got you 
 I got you 
 Some people want it all 
 I got to get it 
 I got to get it 
 I'm gonna make it 
 I'm gonna make it good to ya 
 I'm gonna make it good to ya 
 I'm gonna make it anyway 
 Close my life, I'll be the one 
 I'm gonna let you go 
 
",0.0,1.0,0.5000212806107147
20,"o lord i, i will serve you 
 i will serve you everyday 
 all my tears 
 I guess I shoulda known 
 
 I never knew 
 I really knew that I was 
 You were the first love of me 
 
 I found a thrill, to a brand new boy 
 And to the world 
 When the teacher 
 The past of the night 
 
 If I told you that 
 I wanted to say 
 I would have had a lot of time 
 I thought that I could cry, I was 
 And now I get caught to you 
 I got to get next to you 
",0.3714949005392287,1.0,0.49072460308759785
21,"""it's"" just not the same 
 you know what i mean when i say ""it's"" not 
 That you know I shall never let go 
 
 You're driving me crazy 
 Got me looking so crazy right now (Your love) 
 Your love is so right now 
 Got me looking so crazy right now (Your love) 
 Got me looking so crazy right now 
 Your touch got me looking so crazy right now (Your touch) got me looking so crazy in lo-o-o-ve 
 And I got a Basketball Jones 
 Got a licence 
 I got a mojo 
 I got a Basketball Jones 
 I'm a greedy man (He's a greedy man)",0.47440084712465447,1.0,0.4998329283160323
22,"ah 
 ah 
 ""i'm"" tired of ""arguin',"" girl 
 ""i'm"" tired, ""i'm"" tired, ""i'm"" tired, 
 I got a chick on the phone 
 I got a Basketball Jones, oh baby, oh 
 
 I love you, I love you 
 I love you, I love you 
 
 I want to know I want to know 
 I want you to know 
 I want to know 
 I want to know 
 I want to know 
 
 I want to know 
 I want to know 
 I want to know 
 
 I want to know 
 I just want to hold you 
 I wanna know 
 
 I wanna",0.5787032222417904,1.0,0.5249405406555474
23,"some people ask me why always on the bright side 
 when ""there's"" so much going to get the heights 
 And the simple things are not waiting for 
 I don't know what to do 
 But I don't know what to tell ya (Don't know what to tell ya) 
 You know I can talk to you 
 You know I know 
 That I am the one 
 You know I'm the one 
 That's the way love 
 That's the way love goes, me 
 (That's the way love goes 
 (That's the way love goes) 
 (That's the way love goes) 
 That's the way love goes Aaow 
 (That's the",0.5320067987853857,0.9775064016079105,0.49933171529830034
24,"no more war, no more war 
 what are we even fighting for 
 el dolor treasures and a prayer 
 
 I can't deny 
 
 Oh, oh, ooh 
 I can't believe I'm never gonna letchu 
 And I don't wanna do wrong) 
 
 I don't need no doctor 
 I don't want no doctor, 
 I don't need no doctor 
 I don't need no doctor 
 I don't need no doctor 
 I don't need no doctor 
 I don't need no doctor 
 I don't need no doctor 
 I don't need no doctor 
 I don't need no doctor 
 I don't need no doctor, 
 I don't need",0.6464740934545871,1.0,0.525926750312626
25,"kinm in kalot oté mandela 
 twé la pa mèt dan la gèl banna 
 twé la la la la 
 La la la 
 Stay with me 
 
 
 
 Oh, honey, 
 Yeah, yeah, yeah 
 
 Don't know what to do 
 Don't know what to do 
 And just don't know 
 
 They just don't know how hard to do 
 But I-I-I-I-I-I...I don't know what they say 
 Coldblooded baby, baby, baby 
 It's a love that I got to be 
 I need the love I need, I want to know 
 I want to know 
 Thank you 
 I want to know 
 I want you",0.0,1.0,0.5056309639253537
26,"i want you to rock me, baby 
 rock me, baby, rock me all night long 
 
 I wanna see you in the morning 
 So I wanna make love to you 
 I wanna hear you say 
 I wanna love you, baby 
 I wanna love you, wanna love you 
 I wanna love you, baby 
 I wanna love you, wanna love you 
 I'm gonna love you, baby 
 I'm gonna love you, baby 
 I'm gonna love you baby 
 
 I'm gonna leave my baby 
 
 I'm gonna make you love me, baby 
 
 I'm gonna make it good to ya 
 I'm gonna do it good",0.5835863353017935,1.0,0.5106405354992887
27,"as i stand alone on this moonful night 
 for the first time i feel alone 
 
 Just call my name, I can see your face 
 I'm gonna let you go 
 I wanna be with you 
 So many girls, things are so hard to do 
 But I know you never come home 
 And I will never let you down 
 
 Baby, I can't stand no more, I can't help myself 
 Baby, baby, baby, baby 
 
 I can't stand no more, I can't stand it 
 Can't stand it 
 Can't stand it 
 Can't stand it 
 Can't stand your love 
 Can't stand your love 
",0.4908958659901523,1.0,0.512772077064488
28,"god blessed our love 
 even in the ""mornin'"" when i rise 
 i say, god 
 Well, you know 
 
 I wouldn't do you wrong 
 I just wanna be the one to make you feel 
 But I was blessed to be the one that I adore... 
 
 I confess through the prophet 
 I wonder when I was a 
 And I know I did it 
 But I was a real good time 
 I had a dream 
 And I got a boogie-woogie but I ain't sorry 
 I got a Basketball Jones 
 I got a Basketball Jones, oh baby, oh 
 Oh, oh, oh 
 Yeah, yeah,",0.38278892948208865,1.0,0.4743668585966474
29,"like a warrior that fights and wins the battle 
 i know the taste of victory Minnelli 
 But my life is not to 
 
 The girl is mine, m-m-m 
 And I know darn I know 
 I know you don't know what I need ? 
 I know you want me to need me 
 
 I need you 
 
 And I know you want me 
 And I know that I want you 
 I want you to know 
 That I want you to know 
 
 I want to know 
 I know I want to know 
 I want to know I want to know 
 I want",0.5283291640802057,1.0,0.5213148456654736
30,"you say, your ""party's"" ""jumpin',"" ""everybody's"" ""havin'"" a good time 
 and you know, ""what's"" ""goin'"" 
 We gon' be alright 
 Come on, come on, come on 
 Come on come on come on come on 
 Come on come on come on 
 Come on come on come on come on 
 Come on come on come on 
 Come on come on come on come on 
 Come on come on come on 
 Come on come on come on 
 Come on come on 
 Come on Robbin come on (Come on 
 Come on Robbin wit' don't you wanna dance 
 Ladies can't you see my love ? 
 But I",0.6986455058087024,0.9904627442147604,0.5326092407580437
31,"i wonder why, why my baby ""won't"" treat me right 
 i wonder why, why my heart is lost 
 
 I'm looking for a guy who’s brave 
 I'm writing a Dear John letter 
 I'm writing a Dear John letter 
 I'm writing a Dear John letter 
 I want to be with you 
 
 I want to be there for you 
 
 Baby, don't you know 
 I know I know 
 That you made me feel so good 
 So tell me what you're gonna do 
 
 I don't think it's gonna be a girl 
 They just can't deny 
 And I ain't gonna stand up 
 I",0.4212124255786996,1.0,0.5202107630686694
32,"""i've"" been thinking ""'bout"" yu, oh baby 
 and i wonder where you are tonight 
 
 I need you 
 I don't know what you want me 
 I want you to know 
 I got to say anything 
 I don't know what I have 
 
 So tell me how to do 
 I can't get next to you 
 And I can't let you get me from 
 I can't let you go 
 
 I don't wanna be, you don't wanna be with me 
 I don't wanna be a fallen angel 
 Don't be mad 
 I wanna see the spot 
 I wanna be with you 
 I wanna",0.4448262113168706,1.0,0.49826233640090745
33,"the things i once thought exciting 
 ""they've"" all grown tiresome and old 
 ""here's"" a smile and a deeper time 
 (Whenever a while) in love 
 
 I hope you got the best of me 
 I know you got a man 
 And I know you know that 
 I just can't let it go 
 
 It would be 
 There will be forever 
 I'll be right there 
 I will be there 
 I'll be there to comfort you 
 The way we are 
 I will be there where you are 
 I will always be the one 
 And I will always be there 
 I will always",0.41891429031834904,1.0,0.48173925803308626
34,"it was a sad wedding, a very sad wedding 
 and the tears came tumbling from the pain 
 And I dropped my head and I let it go 
 And I ain't gonna get no sleep 
 
 I ain't gonna go (I can't stop 
 
 I don't need no doctor 
 I don't need no doctor 
 I don't need no doctor 
 I don't need no doctor 
 I don't need no doctor 
 I don't need no doctor 
 I don't need no doctor 
 I don't need no doctor 
 I don't need no doctor 
 I don't need no doctor 
 
 Don't do me no more 
 No",0.660213240328751,1.0,0.5254987035318778
35,"aren’t the pictures enough, why do you go through so much 
 to get the story of me 
 
 Why are you stalking 
 And I will always be with you 
 
 Oh, I love you 
 I love you 
 
 I always love you 
 I love you baby 
 I love you 
 I love you 
 I love you 
 
 I love you 
 
 I love you most in a crowd 
 I love you so 
 
 I think I love you 
 I love you 
 I love you 
 And I love you 
 I love you 
 And I love you 
 I love",0.5934651845337946,1.0,0.5243825532296423
36,"so sad the song of 
 to end two lives 
 when that moment of truth 
 And I'm offering 
 I pray for forgiveness (Pray 
 I believe in you and me 
 And I don't care what you do 
 'Cause you are the same 
 The way you make me feel 
 You make me feel 
 You make me wanna... 
 You make me wanna... 
 You make me wanna... 
 You make me wanna... 
 You make me wanna... 
 You make me wanna... 
 You make me wanna... 
 You make me wanna... 
 You make me wanna... 
 You make me wanna... 
 You make me wanna... 
 You",0.6605902308344593,0.9880455602825677,0.5041279540625843
37,"power, boom boom 
 power, boom boom boom 
 power, boom boom 
 power, boom boom 
 Power, boom boom boom 
 Power, boom boom boom 
 Power, boom boom 
 Power, boom boom 
 Power, boom boom boom 
 Power, boom boom boom 
 Power, boom boom 
 Power, boom boom 
 Power, boom boom 
 Power, boom boom 
 Power, boom boom 
 Power, boom boom 
 Power, boom boom 
 Power, boom boom 
 Power, boom boom 
 Power, boom boom 
 Power, boom boom 
 Power, boom boom boom 
 Power, boom boom boom 
 Power, boom boom 
 Power, boom boom boom 
 Power, boom boom 
 Power, boom boom 
",0.9765565889853017,1.0,0.5309691763196895
38,"darling, i promise from this 
 day forward, to go wherever you go 
 if you know that you had me 
 Honest you made your own way 
 You've changed and free 
 And I just can't forget you, baby 
 So long ago 
 That's why I love you 
 And I love you 
 And I love you 
 I love you 
 I love you, I love you 
 I love you 
 
 I'm fallin' 
 I love you 
 (Chaka Khan, 
 I love you 
 And you know 
 
 I love you 
 
 
 I still love you 
 I love you, I love you 
 I",0.0,1.0,0.4904314545523453
39,"i know i stand in line, until you think you have the time 
 to spend the way you want to know 
 I know you will 
 I know you got my load. baby 
 But I don't care if you don't love me 
 I don't want you no more 
 I don't want you 
 And I don't need you no more 
 I want to know that... 
 I don't know what to do 
 
 I want you to know 
 I want to know 
 
 I wanna know (I want to know) 
 I wanna know (I want to know) 
 That's what I wanna hear 
 (I want",0.5156178894300035,1.0,0.4977808023716115
40,"all i want to say is that they ""don't"" really care about us 
 ""don't"" worry about the love of me 
 
 I'm a fool full of love 
 I'm looking for a guy who’s brave 
 I'm a soldier (in a bachelor) 
 I'm a soldier (in a man, I got on a friend) 
 
 I don't wanna be the one to love you 
 
 I want to be the one to be the one 
 Let me be the one to love you 
 And that's why I love you 
 Love is the answer 
 I love you 
 I love you 
 I love you 
 I love you",0.49269059207117455,1.0,0.5046555326251285
41,"it ""ain't"" nothing but an us thang 
 and ""it's"" time for us to 
 step to be the best to be in 
 I can't take it 
 
 I got to tell you 
 I don't know where I can 
 But I got to know 
 I want to know 
 I know I gotta let you know 
 I just wanna let you know 
 I wanna know 
 I wanna make it all 
 I'm gonna make it last 
 That's what I need 
 I want you to know 
 I know I know 
 That I love you 
 I love you 
 I love you 
 
 I",0.4898593097656518,1.0,0.4859178650890823
42,"""it's"" coming to you 
 ""it's"" gonna renew you 
 welcome it in 
 let it be the hardest 
 (With no 
 All day I have to be 
 
 Oh I love you 
 I love you 
 
 I love you 
 I love you 
 I love you 
 I love you 
 I love you 
 I love you 
 I love you 
 And I love you 
 I love you 
 I love you 
 
 Oh, I love you 
 I love you 
 I love you 
 I love you 
 I love you 
 I love you 
 I love you 
 I love you 
",0.7046722204421713,1.0,0.516966882480833
43,"looking through my old drawer 
 came across the letter you wrote 
 said you needed the one 
 On a love I built up a letter 
 With a smile 
 
 I was a hustler in the sky 
 I was a hustler boy 
 And I took a time 
 But I didn't have a lonely 
 I was lost, but I was married 
 I didn't know that I was too 
 
 I didn't know I was married 
 I was lost in the city 
 And I was a dumb 
 ""What to the man who should 
 And when I find myself to love you 
 I just wanna",0.34902740108977504,1.0,0.4618918206468559
44,"belle 
 the lord and ""i've"" been friends for a mighty long time 
 ooh hoo, is the hottest time, ooh 
 And I'm so glad I had to love you 
 To the stars I could be with you 
 
 My love is blind 
 I know you are my superstar (superstar, yeah) 
 You are my sunshine 
 
 I want you to know 
 I do 
 I want you to know 
 I want you to know 
 And I want to know 
 I want to know 
 I want to know 
 I want to know 
 I want you to know 
 All I want to do is",0.5694301751126009,1.0,0.500155525652713
45,"""there's"" no way 
 ""there's"" just no way 
 i could leave your love behind 
 And I love you so 
 I love you 
 Please don't cry 
 That's what I want to do 
 Whatever's out the world 
 You can watch the money 
 I can be the kind of love that you can rely 
 I can tell by the way you look 
 You can be mine 
 Got to get together 
 You know I want to be the hardest way you want me to 
 And when I think of you 
 
 All the things I do 
 
 Do you know I wonder 
 That I",0.3890000865542808,1.0,0.4786486172200938
46,"i love you 
 i love you 
 i love you 
 
 baby, i love you 
 And I love you 
 I love you 
 And I love you 
 
 You know I love you 
 
 When you are near 
 I'll be there with you 
 That you are with me 
 You can be mine 
 You know I like it 
 You can see your way 
 You know I don't have to be the right 
 And I'll be the same 
 I know I can make it 
 And I can make it all my baby 
 I can make it all over 
 I can see",0.5230286127785344,1.0,0.49968023521243915
47,"whoa, oh, oh, yeah 
 mmm, hmm, sylvia 
 you know ""you're"" getting to me now 
 So put your hand on me 
 
 Well, I'm in a helpless situation 
 I wanna see the light of a star 
 So if you want to be right on 
 And I know that I need you 
 Oh baby, baby, baby, baby 
 I love you 
 And I love you 
 Sha la la means I love you 
 Sha la la means I love you 
 Sha la la means I love you 
 I love you 
 Sha la la means I love you 
 Sha la la means I love you",0.510232750830914,1.0,0.5137627349168464
48,"i ""don't"" wanna fight no more baby 
 just meet me half way 
 help me 
 (Ooh aah, 
 
 I said I’d I know 
 Hallelujah, I was the only man 
 Now I could have been a chance 
 I know I could be myself 
 I can make you a believer, I can make you a believer, baby, baby 
 I can make you a believer, I can make you a believer, baby 
 Baby baby, baby 
 I can do anything that I can do 
 Betcha I can do anything 
 Betcha I can make it all over 
 I can make it all my way 
 For once I",0.4212477397744782,1.0,0.48625366107791335
49,"this is a story of mind, soul and heart 
 come to think of it, ""don't"" as I found a symphony 
 And I know you were my love 
 And I'm gonna do the love you do 
 And I know you can't tell 
 I know you got the love of my life 
 I can't get next to you 
 I just can't get enough for you 
 I wanna be by the one 
 I just wanna be the one 
 I wanna be with you 
 And I wanna be with you 
 I wanna be with you 
 I'm gonna make it last 
 I'm gonna make it anyway 
",0.5265836471057628,1.0,0.4766833542418072
50,"here you come to me with your arms open wide 
 saying, ""i got sweet love 
 No need to be a miracle 
 
 I want to throw 
 I want to be with you 
 I wanna be with you 
 I wanna be, I wanna be, I wanna be, I wanna be, I wanna be, I wanna be, I wanna be, I wanna be, I wanna be, I wanna be, I wanna be, I wanna be, I wanna be, I wanna be, I wanna be, I wanna be, I wanna be, I wanna be, I wanna be, I wanna be, I wanna be, I wanna be, I wanna be with myself 
 I",0.457054889740495,1.0,0.5280829782889636
51,"deena (the dreams) 
 we ""didn't"" make forever 
 ""we've"" each got to go our seperate 
 We can make it, we can do it 
 We can do it, we can do it 
 We can do it, we can do it 
 Baby, it, say it 
 Oh, oh, oh, oh, oh 
 
 I want it, I need it, I want it 
 Have about the love I want 
 Sexual Healing I need, oh 
 (How I wish) 
 
 I want you to know 
 I know you've been running out 
 I've been with you, I can't help myself 
 I can't believe I can't get next to you 
",0.42990610533540813,1.0,0.4854855561434551
52,"as he came into the window 
 was a sound of a crescendo 
 he came to the heart 
 
 So I'll be bringin' 
 But you can't be hip, 
 
 I don't know what to do 
 But just don't know what I got 
 And I know that I know I know 
 I know that I love you 
 I love you 
 I love you 
 
 You know I love you 
 I love you 
 I love you 
 I love you 
 You, you know 
 
 You know I love you 
 I want you, I need you 
 Like I need you 
 I need",0.5492566891713986,1.0,0.5086646373924159
53,"so much ""betta'"" ""i'm"" for you 
 so, so much ""betta'"" ""i'm"" for you 
 
 So tell me what you wanna do with me ? 
 You ain't got no room that you want, you can't see 
 You got the swag sauce, 
 You got the power 
 And the power 
 
 I want to have a little sad 
 And I don't know what I'm gonna do 
 
 It's just the way I am 
 You know I know you are still now 
 
 I know that 
 That I can't help myself 
 When you kiss me 
 I know you got a love that has got my undivided",0.44319945960412416,1.0,0.521157788385616
54,"ooooh 
 ah-aaah 
 i feel, i need, ""i've"" got to hold on to your love 
 
 'Cause I just wanna make love to you 
 And I wanna make love to you 
 I know you want me to 
 And I want the love I need 
 I want you to know 
 I want you 
 I want you 
 I want you 
 I want you 
 I want you 
 I want you 
 I want you 
 I want you 
 I want you 
 
 I want you to know 
 I want you 
 
 I want you to know 
 
 'Cause I need you 
",0.6457709969935802,1.0,0.5196578369224658
55,"baby, ""i'm"" so glad ""you're"" here 
 so many things i wanna tell you 
 so I wanna hear, I wanna know baby, baby 
 I wanna know what I wanna do 
 I wanna make love to you 
 I wanna know what I wanna do 
 I wanna know what I wanna do 
 I wanna know what I wanna do 
 I wanna know what I wanna do 
 Loving you 
 I wanna know 
 I wanna know 
 I wanna know 
 I wanna know (I want to know) 
 I wanna know (I want to know, I want to know, I want to know, I want to know 
 Tell",0.6453920495451204,0.9915498661588825,0.501234272439678
56,"just let me hear some of that rock and roll music 
 any old way you got it 
 We got it, got it, got it, get it, get it 
 Hey, we got it, get it, get it 
 Get it, get it, get it, get it, get it, get it, get it 
 Get it 
 Get it, get it, get it, get it, get it 
 Get it, get it, get it, get it, get it, get it, get it, get it, get it, get it, get it, get it, get it, get it, get it, get it, get it, get it, get it, get it, get it, get it, get it, get",0.7547017307518472,0.9881952404979761,0.5628450263012152
57,"you, you need a love like mine that you can depend on 
 when your whole world is slowly 
 You can dust it down 
 
 You know I can dance 
 I know you can give it all 
 But it's hard to say goodbye 
 I'm going to get down to the point 
 And I can't take it, can't stand it 
 Don't let me be the time, I can't go 
 I don't know how you don't want me 
 'Cause I don't know what I know 
 I don't know 
 That I know 
 I know 
 I know 
 I know 
 
 I know 
 That I",0.5066083826493373,1.0,0.5022038480139743
58,"clap your hands everybody 
 clap your hands 
 come on, keep it going 
 clap it be 
 Let it be, let it be 
 Whisper 
 I wanna be with you 
 I wanna be, I wanna be, I wanna be, I... 
 I wanna be, I wanna be, I wanna be, I wanna be, I wanna be, I wanna be, I wanna know 
 
 I wanna be, I wanna be, I wanna be, I wanna be, I wanna be, I wanna be, I wanna be, I wanna be, I wanna be, I wanna be, I wanna be, I wanna be, I wanna be, I wanna be, I wanna be, I wanna be,",0.4351252823917061,1.0,0.49590212942851936
59,"your eyes are telling me 
 on my knees is where i should be 
 on I know 
 
 I know you know 
 I know you know 
 I know you know 
 
 You know I know 
 You know I know 
 You know I know you know 
 You know you got your heart 
 And you know that I love you 
 The way you make me feel 
 You make me feel 
 You make me feel 
 You make me feel 
 You make me feel 
 You make me wanna... 
 You make me wanna... 
 You make me wanna... 
 You make me wanna... 
 You",0.7127400159309094,1.0,0.5111397629739799
60,"yeah, want to talk, okay 
 talk about getting it on 
 early morning, should talk to me 
 (Reach out) Reach you know 
 Be there 
 You give me up and you know 
 And I know 
 You know I can't go 
 Whoops now, I'll make it through it 
 And I'll be the one I can 
 I don't know what I am 
 When I learn 
 I will 
 I can make it 
 Gotta make you feel 
 I can make you a believer 
 Baby you can make me scream 
 
 I can make you a believer, I can make you a believer, baby 
 I",0.3543127013438192,1.0,0.4548269779300959
61,"am i seeing what i think i see 
 or are my eyes playing tricks on the phone 
 
 When it's twilight and the key 
 And the night is time 
 When you keep on in 
 And you know the color 
 You know 
 I know you come and not 
 You know I wanna love you 
 I love you 
 And I love you 
 
 I want you 
 I want you 
 I want you 
 
 I want to know 
 I want to know 
 I want to know 
 I want to know 
 I want to know 
 I want to know 
 I",0.6197678918692066,1.0,0.5183975760550156
